Date,Rice,Wheat,Maize,Potatoes,Onions
2016-01-01 00:00:00,238.9,228.6,269.1,151.5,354.8
2016-02-01 00:00:00,238.9,228.6,273.8,150.4,309.8
2016-03-01 00:00:00,238.7,228.2,273.8,161.1,273.6
2016-04-01 00:00:00,238.1,226.9,273.1,190.7,254.2
2016-05-01 00:00:00,241.8,227.7,276.7,228.2,247.9
2016-06-01 00:00:00,248.8,231.5,278.6,251.2,255.4
2016-07-01 00:00:00,253.9,233.8,289.6,285.2,259.0
2016-08-01 00:00:00,254.7,236.8,288.1,299.4,250.5
2016-09-01 00:00:00,254.9,238.3,288.3,300.5,230.2
2016-10-01 00:00:00,255.4,239.2,280.7,284.7,218.0
2016-11-01 00:00:00,254.7,251.9,275.7,275.0,245.1
2016-12-01 00:00:00,253.6,258.3,272.6,193.7,256.8
2017-01-01 00:00:00,252.0,256.6,275.6,146.3,252.5
2017-02-01 00:00:00,255.1,253.9,270.4,137.1,251.4
2017-03-01 00:00:00,256.5,245.2,269.3,133.6,244.1
2017-04-01 00:00:00,147.6,141.0,135.5,99.5,107.9
2017-05-01 00:00:00,148.0,137.5,134.2,109.0,102.3
2017-06-01 00:00:00,148.4,136.1,132.6,112.5,111.8
2017-07-01 00:00:00,149.1,136.3,129.2,132.6,117.2
2017-08-01 00:00:00,148.5,137.1,127.7,132.0,220.5
2017-09-01 00:00:00,148.8,137.6,125.1,122.3,193.8
2017-10-01 00:00:00,149.6,138.0,123.7,119.6,237.6
2017-11-01 00:00:00,149.2,139.4,119.1,119.6,335.5
2017-12-01 00:00:00,148.8,139.4,117.9,117.7,363.0
2018-01-01 00:00:00,150.4,140.8,116.4,111.4,346.2
2018-02-01 00:00:00,151.4,140.0,117.3,108.1,250.7
2018-03-01 00:00:00,152.6,141.2,117.3,130.5,157.3
2018-04-01 00:00:00,153.3,140.9,118.0,170.8,122.6
2018-05-01 00:00:00,154.2,141.7,117.6,205.5,115.8
2018-06-01 00:00:00,153.9,143.1,121.5,224.6,135.3
2018-07-01 00:00:00,155.0,145.0,121.6,232.3,169.0
2018-08-01 00:00:00,155.6,148.6,123.2,226.0,163.3
2018-09-01 00:00:00,155.7,149.8,125.7,220.0,147.8
2018-10-01 00:00:00,155.7,151.1,129.3,232.6,162.3
2018-11-01 00:00:00,155.5,152.2,131.9,225.5,175.8
2018-12-01 00:00:00,155.7,152.8,139.2,167.0,131.3
2019-01-01 00:00:00,155.8,154.8,147.9,141.4,119.1
2019-02-01 00:00:00,156.5,157.2,158.9,131.4,105.3
2019-03-01 00:00:00,156.6,155.5,163.7,133.8,108.0
2019-04-01 00:00:00,157.0,151.5,171.3,143.1,118.6
2019-05-01 00:00:00,157.6,150.7,171.3,157.9,134.2
2019-06-01 00:00:00,158.4,150.8,174.0,170.1,157.8
2019-07-01 00:00:00,159.9,153.4,181.5,176.2,181.9
2019-08-01 00:00:00,160.8,156.5,184.8,175.7,217.2
2019-09-01 00:00:00,161.9,158.3,185.8,170.4,328.7
2019-10-01 00:00:00,162.7,160.4,183.6,187.0,356.8
2019-11-01 00:00:00,162.1,164.5,172.4,206.3,478.7
2019-12-01 00:00:00,162.0,165.7,175.6,250.6,729.8
2020-01-01 00:00:00,162.3,168.7,178.8,262.3,468.5
2020-02-01 00:00:00,162.3,167.3,167.0,211.2,276.2
2020-03-01 00:00:00,159.3,162.9,158.5,215.9,229.3
2020-04-01 00:00:00,162.7,161.2,155.4,231.9,204.4
2020-05-01 00:00:00,163.1,161.5,152.0,240.9,142.0
2020-06-01 00:00:00,165.6,158.5,148.4,265.7,133.7
2020-07-01 00:00:00,165.8,157.3,147.6,297.9,135.4
2020-08-01 00:00:00,165.4,154.2,146.9,322.3,142.4
2020-09-01 00:00:00,165.0,150.0,142.5,372.6,224.7
2020-10-01 00:00:00,163.7,147.4,137.9,410.0,387.1
2020-11-01 00:00:00,163.1,147.9,139.8,491.1,442.3
2020-12-01 00:00:00,162.2,147.3,140.5,364.4,330.7
2021-01-01 00:00:00,162.0,149.1,137.4,200.7,316.0
2021-02-01 00:00:00,161.7,149.6,135.4,147.5,362.6
2021-03-01 00:00:00,161.5,150.3,135.7,143.8,241.1
2021-04-01 00:00:00,162.0,156.1,139.9,162.3,164.1
2021-05-01 00:00:00,162.2,157.4,141.5,178.0,175.0
2021-06-01 00:00:00,161.7,155.7,142.6,183.1,219.7
2021-07-01 00:00:00,161.2,152.8,147.6,188.6,232.9
2021-08-01 00:00:00,161.8,153.9,153.6,201.8,231.8
2021-09-01 00:00:00,162.3,156.6,154.8,190.2,220.4
2021-10-01 00:00:00,162.8,159.4,151.6,204.6,293.1
2021-11-01 00:00:00,162.8,162.9,150.4,254.5,290.2
2021-12-01 00:00:00,162.6,164.1,154.2,209.6,267.6
2022-01-01 00:00:00,162.9,164.6,157.4,171.7,265.5
2022-02-01 00:00:00,161.7,166.1,162.4,170.6,266.8
2022-03-01 00:00:00,163.1,171.4,169.5,181.7,218.6
2022-04-01 00:00:00,164.4,173.3,181.1,194.5,157.5
2022-05-01 00:00:00,165.1,174.1,182.3,232.0,139.3
2022-06-01 00:00:00,165.5,171.8,178.3,259.1,150.9
2022-07-01 00:00:00,166.2,173.6,186.1,291.4,172.5
2022-08-01 00:00:00,168.8,180.6,192.4,291.4,174.4
2022-09-01 00:00:00,171.7,181.8,193.4,284.9,174.2
2022-10-01 00:00:00,173.6,185.3,186.1,296.5,205.1
2022-11-01 00:00:00,173.3,192.4,182.4,289.5,234.2
2022-12-01 00:00:00,173.7,198.2,186.6,251.7,194.3
2023-01-01 00:00:00,174.6,203.9,190.9,184.6,200.5
2023-02-01 00:00:00,175.6,196.8,193.1,146.0,159.5
2023-03-01 00:00:00,175.4,187.1,193.7,135.2,138.1
2023-04-01 00:00:00,176.2,186.4,189.8,157.0,128.2
2023-05-01 00:00:00,177.2,184.9,184.5,190.0,129.2
2023-06-01 00:00:00,178.2,187.3,181.9,204.3,144.4
2023-07-01 00:00:00,181.2,187.1,186.0,221.3,184.3
2023-08-01 00:00:00,184.3,188.3,186.9,221.4,233.9
2023-09-01 00:00:00,187.0,190.7,183.9,212.2,271.9
2023-10-01 00:00:00,190.2,194.0,183.5,209.7,343.4
2023-11-01 00:00:00,191.4,197.3,183.5,210.7,471.3
2023-12-01 00:00:00,192.0,197.4,188.0,191.1,372.6
